state,Location,White,Black,Hispanic,total,year,,,,,,,,
RI,Rhode Island,751900,52000,139200,1008600,2013,,,,,,,,
SC,South Carolina,2964300,1254800,242000,4616200,2013,,,,,,,,
SD,South Dakota,678900,13100,25900,811600,2013,,,,,,,,
TN,Tennessee,4741900,1051300,303200,6318700,2013,,,,,,,,
TX,Texas,11329100,2922400,9947800,25773000,2013,,,,,,,,
UT,Utah,2267600,26900,380000,2849400,2013,,,,,,,,
VT,Vermont,567200,6000,9000,602700,2013,,,,,,,,
VA,Virginia,5067700,1479900,680500,7945700,2013,,,,,,,,
WA,Washington,4827300,230900,810500,6797800,2013,,,,,,,,
WV,West Virginia,1676500,53600,21900,1798200,2013,,,,,,,,
WI,Wisconsin,4620800,332800,354300,5592500,2013,,,,,,,,
WY,Wyoming,482300,7200,49700,567300,2013,,,,,,,,
US,United States,192419600,37599400,54059600,310212200,2014,,,,,,,,
AL,Alabama,3129100,1241500,184300,4714100,2014,,,,,,,,
AK,Alaska,437700,21000,46600,706600,2014,,,,,,,,
AZ,Arizona,3696900,256900,1998500,6556200,2014,,,,,,,,
AR,Arkansas,2119500,441900,201400,2880000,2014,,,,,,,,
CA,California,14533900,2044300,14716500,37981600,2014,,,,,,,,
CO,Colorado,3600200,194200,1106200,5217000,2014,,,,,,,,
CT,Connecticut,2394300,331100,525700,3480400,2014,,,,,,,,
DE,Delaware,578400,190300,80700,905300,2014,,,,,,,,
DC,District of Columbia,220500,300300,65700,623500,2014,,,,,,,,
FL,Florida,10815800,2965100,4716100,19431100,2014,,,,,,,,
GA,Georgia,5334800,2992700,896200,9792900,2014,,,,,,,,
HI,Hawaii,291900,22600,133800,1348100,2014,,,,,,,,
ID,Idaho,1325000,8000,193400,1598800,2014,,,,,,,,
IL,Illinois,7834100,1736700,2117100,12569400,2014,,,,,,,,
IN,Indiana,5138400,579500,412800,6386700,2014,,,,,,,,
IA,Iowa,2620800,100300,166400,3002100,2014,,,,,,,,
KS,Kansas,2164000,151100,319600,2810700,2014,,,,,,,,
KY,Kentucky,3660900,318400,139000,4268800,2014,,,,,,,,
LA,Louisiana,2686700,1438500,212100,4508500,2014,,,,,,,,
ME,Maine,1213700,15600,15700,1293800,2014,,,,,,,,
MD,Maryland,3053700,1693500,546000,5819300,2014,,,,,,,,
MA,Massachusetts,4811900,420500,704400,6506500,2014,,,,,,,,
MI,Michigan,7358500,1312600,466100,9682700,2014,,,,,,,,
MN,Minnesota,4342500,299100,269200,5330400,2014,,,,,,,,
MS,Mississippi,1664000,1081800,71700,2886800,2014,,,,,,,,
MO,Missouri,4705300,668300,223300,5870200,2014,,,,,,,,
MT,Montana,864300,5000,32900,993700,2014,,,,,,,,
NE,Nebraska,1470000,82900,184300,1823700,2014,,,,,,,,
NV,Nevada,1435800,223000,780500,2795200,2014,,,,,,,,
NH,New Hampshire,1174900,13900,40600,1286500,2014,,,,,,,,
NJ,New Jersey,4969400,1096900,1701600,8756200,2014,,,,,,,,
NM,New Mexico,788200,34300,973700,2036700,2014,,,,,,,,
NY,New York,10836700,2744600,3585700,19216400,2014,,,,,,,,
NC,North Carolina,6178500,2047800,865900,9632900,2014,,,,,,,,
ND,North Dakota,616200,14300,16900,708400,2014,,,,,,,,
OH,Ohio,9045100,1347200,381000,11270300,2014,,,,,,,,
OK,Oklahoma,2518200,263900,367200,3749500,2014,,,,,,,,
OR,Oregon,2996700,64200,485600,3889600,2014,,,,,,,,
PA,Pennsylvania,9659000,1286300,803900,12368000,2014,,,,,,,,
RI,Rhode Island,751600,54900,144300,1013700,2014,,,,,,,,
SC,South Carolina,2995500,1266700,246000,4674300,2014,,,,,,,,
SD,South Dakota,686400,12500,27100,821600,2014,,,,,,,,
TN,Tennessee,4766200,1053600,313600,6374800,2014,,,,,,,,
TX,Texas,11417900,3005800,10204600,26280100,2014,,,,,,,,
UT,Utah,2296400,29900,386600,2891800,2014,,,,,,,,
VT,Vermont,560600,5300,8700,6.00E+05,2014,,,,,,,,
VA,Virginia,5052100,1496200,707400,8006000,2014,,,,,,,,
WA,Washington,4844800,226300,837800,6887600,2014,,,,,,,,
WV,West Virginia,1665200,62000,21100,1791600,2014,,,,,,,,
WI,Wisconsin,4618400,330700,359100,5603600,2014,,,,,,,,
WY,Wyoming,479100,6000,55200,568500,2014,,,,,,,,
US,United States,192593600,37923800,55241300,312777900,2015,,,,,,,,
AL,Alabama,3131400,1251500,188000,4730100,2015,,,,,,,,
AK,Alaska,435400,22900,47600,707500,2015,,,,,,,,
AZ,Arizona,3714900,264200,2045900,6655100,2015,,,,,,,,
AR,Arkansas,2106000,446400,204300,2882300,2015,,,,,,,,
CA,California,14503600,2084000,14903200,38325100,2015,,,,,,,,
CO,Colorado,3646600,204900,1137200,5315400,2015,,,,,,,,
CT,Connecticut,2366300,342500,540400,3478100,2015,,,,,,,,
